epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
88,0.0687,0.3018,0.4182,0.5796,0.0687,0.1277,0.1356,0.1408,0.0687,0.1682,0.1975,0.2297,0.0687,0.0302,0.0209,0.0116,0.0687,0.3018,0.4182,0.5796,2398.6524,0.1682
89,0.0664,0.3031,0.4199,0.5844,0.0664,0.1266,0.1346,0.1399,0.0664,0.1677,0.1971,0.2298,0.0664,0.0303,0.021,0.0117,0.0664,0.3031,0.4199,0.5844,2397.8815,0.1677
90,0.0667,0.2987,0.4202,0.5813,0.0667,0.1273,0.1357,0.1409,0.0667,0.1674,0.1981,0.2301,0.0667,0.0299,0.021,0.0116,0.0667,0.2987,0.4202,0.5813,2396.8662,0.1674
91,0.0659,0.2988,0.4207,0.5823,0.0659,0.1255,0.1338,0.139,0.0659,0.166,0.1966,0.2287,0.0659,0.0299,0.021,0.0116,0.0659,0.2988,0.4207,0.5823,2395.1385,0.166
92,0.0685,0.3003,0.4207,0.5833,0.0685,0.1282,0.1364,0.1417,0.0685,0.1683,0.1987,0.2311,0.0685,0.03,0.021,0.0117,0.0685,0.3003,0.4207,0.5833,2395.2268,0.1683
93,0.0682,0.298,0.4159,0.5815,0.0682,0.1281,0.1362,0.1416,0.0682,0.1678,0.1976,0.2306,0.0682,0.0298,0.0208,0.0116,0.0682,0.298,0.4159,0.5815,2393.6473,0.1678
94,0.0685,0.3033,0.4215,0.5856,0.0685,0.1283,0.1364,0.1417,0.0685,0.1691,0.1988,0.2315,0.0685,0.0303,0.0211,0.0117,0.0685,0.3033,0.4215,0.5856,2392.8376,0.1691
95,0.0677,0.3017,0.4189,0.5813,0.0677,0.1282,0.1362,0.1415,0.0677,0.1687,0.1983,0.2307,0.0677,0.0302,0.0209,0.0116,0.0677,0.3017,0.4189,0.5813,2391.8755,0.1687
96,0.0679,0.2998,0.4214,0.582,0.0679,0.1274,0.1357,0.1408,0.0679,0.1677,0.1982,0.2302,0.0679,0.03,0.0211,0.0116,0.0679,0.2998,0.4214,0.582,2390.9997,0.1677
97,0.0702,0.2998,0.4248,0.5829,0.0702,0.1286,0.1371,0.1422,0.0702,0.1685,0.2,0.2314,0.0702,0.03,0.0212,0.0117,0.0702,0.2998,0.4248,0.5829,2390.174,0.1685
98,0.0661,0.2998,0.4217,0.5815,0.0661,0.1269,0.1353,0.1405,0.0661,0.1673,0.1981,0.2299,0.0661,0.03,0.0211,0.0116,0.0661,0.2998,0.4217,0.5815,2389.093,0.1673
99,0.0692,0.3028,0.4238,0.5831,0.0692,0.1281,0.1363,0.1414,0.0692,0.1689,0.1992,0.2308,0.0692,0.0303,0.0212,0.0117,0.0692,0.3028,0.4238,0.5831,2387.9236,0.1689
100,0.069,0.3017,0.4205,0.5813,0.069,0.1288,0.1369,0.1421,0.069,0.1692,0.1991,0.231,0.069,0.0302,0.021,0.0116,0.069,0.3017,0.4205,0.5813,2387.104,0.1692
101,0.0685,0.3035,0.4179,0.5833,0.0685,0.1281,0.136,0.1413,0.0685,0.169,0.1978,0.2308,0.0685,0.0303,0.0209,0.0117,0.0685,0.3035,0.4179,0.5833,2386.3167,0.169
102,0.0704,0.3018,0.4177,0.5808,0.0704,0.1293,0.1373,0.1426,0.0704,0.1695,0.1988,0.2313,0.0704,0.0302,0.0209,0.0116,0.0704,0.3018,0.4177,0.5808,2385.2718,0.1695
